run,layer_number,layer_code,wire,value,wire_med,gain,cv,rel_to_layer,robust_z,status
22603,1,11,19,0.569875053,2.380338162,0.9599512013306997,0.2493973472923846,0.26387832711979403,-0.009453121314264568,low/dead
22603,1,11,20,0.618840483,2.3268165435,0.9599512013306997,0.27705590892462845,0.2865515704686328,-0.032001625713263815,low/dead
22603,1,11,46,0.495934959,,0.9599512013306997,,0.229640667111539,,low vs layer
22603,2,21,21,0.534395644,1.7779884995000002,0.9630876855135045,0.31208157717616425,0.3304786215284208,0.26893794360433376,low/dead
22603,2,21,22,0.455950347,1.6550920675,0.9630876855135045,0.2860418403456645,0.28196682337097256,0.2627357590552215,low/dead
22603,2,21,23,0.462090444,1.696869184,0.9630876855135045,0.2827566286708651,0.2857639553562228,0.23722167966249041,low/dead
22603,2,21,24,0.426670218,1.701168652,0.9630876855135045,0.2604228747690818,0.2638595338023953,0.2470352561218342,low/dead
22603,2,21,54,0.530252928,1.636902951,0.9630876855135045,0.3363522319301791,0.3279167011826335,0.21089835554952696,low/dead
22603,2,21,55,0.388276112,,0.9630876855135045,,0.2401160183599377,,low vs layer
22603,3,22,56,0.435887762,0.8527965645,0.9615738619568317,0.5315530130135645,0.28420661684057047,0.0,low vs layer
22603,5,32,5,0.413953557,1.291335482,0.980186354785668,0.3270422650934068,0.32352567053922293,0.3108853693225899,low/dead
22603,6,41,61,0.682623523,1.63766136,0.9953511959137833,0.41877505576643076,0.5690964147236796,0.4136205241328239,low/dead
22603,8,51,44,0.378866227,0.9390130725,0.842673916237627,0.47880061931275947,0.5391628409328149,0.17296297995887167,low/dead
22603,8,51,80,0.36849464,0.920071832,0.842673916237627,0.47528038261866884,0.5244030816473775,0.2598786886877136,low/dead
