run,layer_number,layer_code,wire,value,local_median,robust_z,reason
21908,1,11,1,0.339934676,0.350380078,-0.46938422034959465,low/dead
21909,1,11,1,0.364722974,0.364722974,0.0,low/dead
21922,1,11,1,2.758818166,2.422608216,15.10824047313128,outlier
21923,1,11,1,2.739825937,2.422608216,14.254788150102826,outlier
21932,1,11,1,2.247134305,2.391537642,-6.489041566195806,outlier
21936,1,11,1,2.226397522,2.351714312,-5.631350882509246,outlier
21948,1,11,1,2.183409109,2.421159692,-10.683779527022192,outlier
21950,1,11,1,2.25689073,2.424814655,-7.545984406743652,outlier
21957,1,11,1,2.240638162,2.420796825,-8.095775880284966,outlier
21958,1,11,1,2.25465847,2.414554743,-7.185246430813394,outlier
21962,1,11,1,2.25956241,2.39399753,-6.041100571218251,outlier
21976,1,11,1,2.285338934,2.410339209,-5.617127672478285,outlier
21980,1,11,1,2.14370871,2.410339209,-11.981554074657781,outlier
21993,1,11,1,2.210981831,2.403305513,-8.642434396525234,outlier
21994,1,11,1,2.207279036,2.403305513,-8.808826608542468,outlier
21995,1,11,1,2.258076335,2.403305513,-6.526152319225474,outlier
22004,1,11,1,2.13220704,2.35554651,-10.036188458734452,outlier
22014,1,11,1,2.186029916,2.338598623,-6.8559681652214985,outlier
22018,1,11,1,2.020073372,2.33622858,-14.207042085746828,outlier
22019,1,11,1,2.063696902,2.302423938,-10.727658319826235,outlier
22020,1,11,1,2.338598623,2.190944853,6.635106022068709,outlier
22021,1,11,1,2.33622858,2.190944853,6.528603583411967,outlier
22025,1,11,1,2.186327615,2.302423938,-5.217011471344969,outlier
22026,1,11,1,2.190067944,2.30850509,-5.322200853125735,outlier
22027,1,11,1,2.190944853,2.329806703,-6.240024194239,outlier
22038,1,11,1,2.141832765,2.344389764,-9.10228816966247,outlier
22050,1,11,1,0.790169987,2.318286631,-68.668859230806,outlier
22051,1,11,1,2.111553382,2.319069669,-9.325143310265886,outlier
22054,1,11,1,3.843438194,2.336459038,67.71900557031225,outlier
22055,1,11,1,0.839827832,2.345735834,-67.67087120600877,outlier
22056,1,11,1,2.157875227,2.345735834,-8.441877541055552,outlier
22091,1,11,1,2.087650764,2.248626874,-7.233770982415099,outlier
22093,1,11,1,2.093708364,2.248626874,-6.961561080566463,outlier
22097,1,11,1,2.096326486,2.230297356,-6.02023860493898,outlier
22100,1,11,1,2.089062301,2.248626874,-7.170340853613984,outlier
22103,1,11,1,2.133153868,2.26648687,-5.9915747800459025,outlier
22107,1,11,1,2.03094147,2.258769449,-10.237888239891465,outlier
22116,1,11,1,2.128033695,2.266435707,-6.219360489661882,outlier
22117,1,11,1,2.089181168,2.266435707,-7.965273485112567,outlier
22127,1,11,1,2.124408043,2.294307228,-7.634746512317737,outlier
22129,1,11,1,2.294307228,2.169260289,5.619224609030696,outlier
22136,1,11,1,1.407627918,2.154164828,-33.54707128194259,outlier
22138,1,11,1,1.959956666,2.154164828,-8.727117128273067,outlier
