run,layer_number,layer_code,wire,value,lay_med,rel_to_layer,own_norm,cv,robust_z,status
23055,1,11,20,0.236279377,0.383474612,0.6161538980838711,1.0236181665178086,0.6019372440213051,-8.169831506504032,outlier
23055,1,11,21,0.227693266,0.383474612,0.5937635996617163,0.999058264487487,0.5943232950145453,-8.50985309529261,outlier
23055,1,11,25,0.228245893,0.383474612,0.5952047041904303,0.9994064804326469,0.595558179623534,-8.088393051781132,outlier
23055,1,11,26,0.228850444,0.383474612,0.5967812127286277,1.0,0.5967812127286277,-8.54174497365444,outlier
23055,2,21,23,0.339461059,0.23105816899999998,1.4691584394923516,0.9953683670719614,1.4759947051704296,7.400833861492391,outlier
23055,2,21,24,0.139269309,0.23105816899999998,0.602745661851064,1.0078488697430183,0.5980516324880657,-8.493307815631141,outlier
23055,2,21,25,0.131478758,0.23105816899999998,0.569028823213777,1.0091052424935691,0.5638944277087168,-8.275655920228504,outlier
23055,2,21,26,0.137164507,0.23105816899999998,0.5936362587552574,1.0237681817796287,0.5798541792179283,-8.08739439725284,outlier
23055,2,21,29,0.322952732,0.23105816899999998,1.3977118116953486,1.0203390422119847,1.3698503672517133,6.441772362543685,outlier
23055,2,21,30,0.136585918,0.23105816899999998,0.5911321750325131,1.0050178178963372,0.5881807909334854,-8.062370694967289,outlier
23055,2,21,31,0.135829301,0.23105816899999998,0.587857601347131,1.019629112967242,0.5765406203794982,-7.760626717584917,outlier
23055,2,21,32,0.134087971,0.23105816899999998,0.5803212739905336,1.033280903688394,0.5616297290688542,-7.854621488491615,outlier
23055,3,22,23,0.128851,0.212532198,0.6062657856669792,1.0347407015760648,0.5859108322921344,-8.43490264373963,outlier
23055,3,22,24,0.125564912,0.212532198,0.5908041848793188,0.9942415366607724,0.5942260135938142,-8.627421131651992,outlier
23055,3,22,25,0.123816165,0.212532198,0.5825760339616871,0.9942360226545239,0.5859534564099373,-8.58664812232254,outlier
23055,3,22,26,0.329869836,0.212532198,1.552093466797911,1.0845050957095672,1.4311536874636916,8.175174907340844,outlier
23055,3,22,29,0.124200036,0.212532198,0.5843822120542883,1.0437700208167227,0.5598764099365726,-7.7166030187799235,outlier
23055,3,22,30,0.125746649,0.212532198,0.5916592882552317,0.9992834669589655,0.5920835356715929,-8.122290494811693,outlier
23055,3,22,31,0.121056741,0.212532198,0.5695924765244276,1.0077337835396183,0.565221178279605,-7.789364228469955,outlier
23055,3,22,32,0.270991,0.212532198,1.2750585678316844,0.9996059412008249,1.2755612139519286,5.567889837301769,outlier
23055,4,31,29,0.094975735,0.171116732,0.5550347642216543,0.9978621834516384,0.5562238688129965,-8.155632609162971,outlier
23055,4,31,30,0.09696927,0.171116732,0.5666849107426853,1.0838689554969543,0.5228352633117536,-7.427570399220486,outlier
23055,4,31,31,0.105931834,0.171116732,0.6190618109747444,1.1421228599779276,0.5420273358215668,-7.557165230340061,outlier
23055,4,31,32,0.094693858,0.171116732,0.5533874852168168,0.9753260890938829,0.567387145083893,-8.320379551392234,outlier
23055,4,31,33,0.252307401,0.171116732,1.474475336520569,1.0463678122546862,1.4091367483326993,8.142442575202136,outlier
23055,4,31,36,0.229058143,0.171116732,1.3386075126773693,1.0265248568753762,1.3040186057958079,6.016392726543032,outlier
23055,4,31,37,0.108439053,0.171116732,0.6337139082342923,1.0472193323034886,0.6051396194533194,-7.950131899201289,outlier
23055,4,31,38,0.098753252,0.171116732,0.5771104371020831,1.000568010675468,0.57678281830386,-8.151963438732999,outlier
23055,4,31,39,0.107270748,0.171116732,0.6268863760207857,1.0342962343431825,0.6060994473395549,-8.156887852831861,outlier
23055,4,31,40,0.102432484,0.171116732,0.5986117359931816,1.0073911474455635,0.594219770057617,-8.194324008809618,outlier
23055,4,31,41,0.237716577,0.171116732,1.3892070881765088,0.9600099941166119,1.4470756520142671,8.817473462693005,outlier
23055,4,31,67,0.008788246,0.171116732,0.05135819213751698,0.7849115008995211,0.06543182521680428,-0.006203035807078872,low/dead
23055,5,32,28,0.224702036,0.16321306000000002,1.3767405377976492,0.9753660299500153,1.4115116741026987,5.211200642071456,outlier
23055,5,32,29,0.098180227,0.16321306000000002,0.6015463897313118,1.0175697902521543,0.5911598354175278,-8.374196639579488,outlier
23055,5,32,30,0.095697116,0.16321306000000002,0.5863324662867052,0.9584887947573019,0.6117259476519702,-8.742110181001342,outlier
23055,5,32,31,0.094526957,0.16321306000000002,0.5791629481121179,0.9989718553034985,0.5797590242781784,-8.302489240184766,outlier
23055,5,32,32,0.095005406,0.16321306000000002,0.58209438631933,1.0442969689669117,0.5574031177119825,-7.990522458939102,outlier
23055,5,32,33,0.212670355,0.16321306000000002,1.303022901476144,1.0677456397231437,1.2203495411266727,5.093703345923113,outlier
23055,5,32,36,0.232692868,0.16321306000000002,1.4257000512091371,1.0181325793406957,1.4003088400651778,7.130408891225777,outlier
23055,5,32,37,0.097354996,0.16321306000000002,0.596490231847868,0.9936071515666088,0.60032803800515,-8.10736301594465,outlier
23055,5,32,38,0.099266935,0.16321306000000002,0.608204606910746,0.9382108614663085,0.6482600360863408,-8.767300270138657,outlier
23055,5,32,39,0.00993986,0.16321306000000002,0.060901131318780485,0.9403180936924067,0.06476652074154625,-0.5401439435049845,low/dead
23055,5,32,40,0.103587807,0.16321306000000002,0.6346784197294015,1.0473134066940262,0.6060062018425241,-8.13171638081148,outlier
23055,6,41,34,0.080264371,0.135540007,0.5921821370423863,1.01002668627085,0.5863034562272803,-8.129447015156531,outlier
23055,6,41,35,0.080234699,0.135540007,0.5919632201287994,1.0240595835529902,0.5780554468080599,-8.34818080428116,outlier
23055,6,41,36,0.170008697,0.135540007,1.2543063908798529,1.019749613593675,1.2300140879284887,5.883805087441429,outlier
23055,6,41,37,0.079758105,0.135540007,0.5884469594280012,1.073799991158844,0.5480042505801753,-8.086083882092307,outlier
23055,6,41,38,0.078769683,0.135540007,0.5811544852583636,1.0188422179976666,0.5704067567994071,-8.260718268123743,outlier
23055,6,41,39,0.185654705,0.135540007,1.369741002005408,1.0680316462937867,1.28249102614009,5.799471235978828,outlier
23055,6,41,43,0.176530803,0.135540007,1.3024258070165218,1.0441440815698044,1.2473621504978576,5.189517998003339,outlier
23055,6,41,44,0.085026602,0.135540007,0.627317379436169,1.0237368323454379,0.6127721105813396,-7.945527722526979,outlier
23055,6,41,45,0.079574515,0.135540007,0.5870924516036067,0.94094423855765,0.6239396847825394,-8.516251473540807,outlier
23055,6,41,47,0.085223174,0.135540007,0.6287676670992056,1.0351591177794226,0.6074116107367243,-8.33652774486955,outlier
23055,6,41,48,0.086727134,0.135540007,0.6398637267297765,1.0612989973791949,0.6029061822444722,-8.211838935188368,outlier
23055,6,41,61,0.008478552,0.135540007,0.0625538701646961,1.4024040559084483,0.04460474133767033,-0.07352092831582044,low/dead
23055,7,42,38,0.356180794,0.226458202,1.5728323852010448,0.8076352813785159,1.947453784481095,5.154549611754122,outlier
